PeriodKey,PeriodDateEnd,Month,Quarter,Year,Category,SubCategory,Country,Segment,Driver_Score,Driver,Brand,Equity_Score,CBI
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,62,Reduces stress levels,Biotiquest Simple Slumber Probiotics,80,76
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about men’s health benefits in the context of probiotics+ ,74,Likes the brand's ambassadors,Nordic Naturals Nordic Flora Probiotic Daily,78,73
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,74,Brand has nice advertising,Innovixlabs Multi-Strain Probiotics,79,45
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,86,Good promotions,HUM Nutrition Private Party,71,38
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,84,Helps with weight management,RepHresh Pro-B Probiotic Feminine Supplement ,71,59
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,81,Uses unique/high quality ingredients,Probulin Total Care Probiotics,79,73
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,84,Improves immune system,Biotiquest Simple Slumber Probiotics,79,76
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,78,Meets my needs,Peptiva Clinically Validated Probiotics Sleep Support,79,83
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,80,Great value-for-money,Ritual Synbiotic+,70,77
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,80,Great value-for-money,Klean Athlete Klean Probiotic,70,50
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,74,"Vaginal health (prevents bacteria/yeast infection, etc)",Bio-Kult Pro-Cyan,70,50
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,77,Likes the brand's ambassadors,Gaia Herbs Sound Sleep,78,28
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,86,Improves immune system,Renew Life Women's Care,70,58
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,61,Likes the brand's ambassadors,Culturelle Women's Healthy Balance,70,88
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,80,Great reviews and recommendations,Ritual Synbiotic+,70,77
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,70,Minimise gas,Klean Athlete Klean Probiotic,70,50
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about women’s health benefits in the context of probiotics+ ,76,Expert/science-backed,Hyperbiotics PRO-Women Probiotics,69,37
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,85,Great value-for-money,Friska Nightly Reboot,78,42
1,28/2/2023,February,Q1,2023,Digestive Health Supplement,Probiotics+,USA,Consumers discussing about good sleep benefits in the context of probiotics+ ,77,Helps boost sleep hormones,Friska Nightly Reboot,78,42
